"G","p-Value"
0.281747880832123,0.404442124326331
0.179915347725765,0.328554000546223
0.085566173553721,0.230108607715
0.963888097729575,0.67379078541012
0.499653942959284,0.520347783886159
0.545552146621862,0.539859198495221
0.000101721894491039,0.00804710964217858
0.0135515450736709,0.0926732642857603
0.107111185118896,0.256542711325436
0.145873299771312,0.297489407289842
0.0942999440673851,0.241219772230281
14.4407217609947,0.999855359353006
0.0477039250289398,0.172892103297697
5.05984085331004,0.975513513525864
